# wavelength[angstrom]  transmittance
 5000.0 -0.0007
 5005.0 -0.0007
 5010.0 -0.0006
 5015.0 -0.0006
 5020.0 -0.0006
 5025.0 -0.0004
 5030.0 -0.0007
 5035.0 -0.0005
 5040.0 -0.0006
 5045.0 -0.0005
 5050.0 -0.0004
 5055.0 -0.0002
 5060.0  0.0000
 5065.0  0.0001
 5070.0  0.0004
 5075.0  0.0012
 5080.0  0.0026
 5085.0  0.0053
 5090.0  0.0110
 5095.0  0.0236
 5100.0  0.0512
 5105.0  0.1074
 5110.0  0.2085
 5115.0  0.3555
 5120.0  0.5281
 5125.0  0.6938
 5130.0  0.8184
 5135.0  0.8876
 5140.0  0.9133
 5145.0  0.9234
 5150.0  0.9260
 5155.0  0.9254
 5160.0  0.9213
 5165.0  0.9150
 5170.0  0.8975
 5175.0  0.8716
 5180.0  0.8186
 5185.0  0.7288
 5190.0  0.6045
 5195.0  0.4556
 5200.0  0.3072
 5205.0  0.1840
 5210.0  0.0991
 5215.0  0.0500
 5220.0  0.0252
 5225.0  0.0131
 5230.0  0.0071
 5235.0  0.0040
 5240.0  0.0022
 5245.0  0.0010
 5250.0  0.0006
 5255.0  0.0003
 5260.0 -0.0001
 5265.0 -0.0002
 5270.0 -0.0003
 5275.0 -0.0005
 5280.0 -0.0006
 5285.0 -0.0004
 5290.0 -0.0005
 5295.0 -0.0006
 5300.0 -0.0007
